keyword,volume,traffic_potential,difficulty,cpc,priority,source,blog_fit,business_potential,ahrefs_product,rank,selected
serp tracking,2500,26000,79,350,high,extra-keywords,no,,,,,
daily rank tracking,2600,1100,65,1500,medium,extra-keywords,yes,3,Rank Tracker,1,yes
share of voice seo,1900,700,13,250,high,extra-keywords,yes,3,Rank Tracker,2,yes
mobile rank tracker,1800,4500,53,300,medium,content-gap-analysis,yes,3,Rank Tracker,3,
keyword mapping,1600,1800,35,400,medium,content-gap-analysis,yes,3,Keywords Explorer,4,
share of search,1500,900,2,180,medium,content-gap-analysis,yes,3,Rank Tracker,5,
keyword gap,1300,6300,26,350,high,content-gap-analysis,yes,3,Site Explorer,6,yes
seo chrome extensions,1200,2800,40,200,medium,content-gap-analysis,yes,3,Ahrefs SEO Toolbar,7,yes
ppc keyword research,1100,247000,69,400,high,extra-keywords,yes,3,Keywords Explorer,8,
focus keywords,1000,6000,11,170,high,content-gap-analysis,yes,3,Keywords Explorer,9,
keyword search volume,2800,17000,88,160,high,content-gap-analysis,yes,3,Keywords Explorer,10,
buyer intent keywords,800,800,1,500,high,extra-keywords,yes,3,Keywords Explorer,11,
internal link audit,700,900,4,400,high,extra-keywords,yes,3,Site Audit,12,
low hanging fruit seo,350,400,6,350,high,extra-keywords,yes,3,Keywords Explorer,13,
local seo audit,2000,700,7,500,high,extra-keywords,yes,3,Site Audit,14,
seo potential,1300,500,4,700,high,extra-keywords,yes,3,Keywords Explorer,15,
keyword opportunities,1600,250,81,300,low,extra-keywords,yes,3,Keywords Explorer,16,
brand monitoring,3600,900,13,600,high,extra-keywords,yes,3,Brand Radar,17,
answer engine optimization,3200,1600,42,400,high,content-gap-analysis,yes,3,Brand Radar,18,
website traffic analysis,2900,79000,57,350,high,content-gap-analysis,yes,3,Web Analytics,19,
competitor keyword analysis,4300,247000,47,450,high,content-gap-analysis,yes,3,Site Explorer,20,
find competitors,1600,7500,28,450,medium,content-gap-analysis,yes,3,Site Explorer,21,
most searched for keywords,1200,175000,65,,medium,content-gap-analysis,yes,3,Keywords Explorer,22,
serp feature increase,150,20,2,,medium,extra-keywords,yes,3,Rank Tracker,23,
orphan pages,500,1100,26,170,high,content-gap-analysis,yes,3,Site Audit,24,yes
white label seo,5600,8100,39,1700,high,content-gap-analysis,yes,2,Reports Builder,25,
seo strategy,13000,606000,71,40,high,extra-keywords,yes,2,Site Explorer,26,
content strategy,9200,2100,48,180,high,extra-keywords,yes,2,Content Explorer,27,
content marketing strategy,8500,7000,53,190,high,extra-keywords,yes,2,Content Explorer,28,
