"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://ahrefs.com/blog/","1","Ahrefs Blog | Get Better at SEO & Marketing","43","387","Indexable",""
"https://ahrefs.com/blog/google-my-business/","1","How to Optimize Google My Business in 30 Minutes","48","458","Indexable",""
"https://ahrefs.com/blog/orchard-seo-strategy/","1","Steal Our SEO Strategy for 2024 (+ Free Template)","49","450","Indexable",""
"https://ahrefs.com/blog/title-tag-seo/","1","What Are Title Tags? How To Write Them for SEO","46","441","Indexable",""
"https://ahrefs.com/blog/link-building/","1","Link Building for SEO: The Beginner’s Guide","43","384","Indexable",""
"https://ahrefs.com/blog/hreflang-tags/","1","Hreflang: The Easy Guide for Beginners","38","348","Indexable",""
"https://ahrefs.com/blog/link-building-strategies/","1","12 Link Builders Share Strategies That Work in 2024","51","462","Indexable",""
"https://ahrefs.com/blog/enterprise-seo-metrics-reporting/","1","Enterprise SEO Storytelling: Metrics, Reports, & Dashboards","59","526","Indexable",""
"https://ahrefs.com/blog/duplicate-content/","1","Duplicate Content: Why It Happens and How to Fix It","51","463","Indexable",""
"https://ahrefs.com/blog/gsc-anonymized-queries/","1","Anonymized Queries Make Up Nearly Half of Google Search Console Traffic","71","670","Indexable",""
"https://ahrefs.com/blog/seo-conferences-roundup/","1","25 SEO Conferences to Attend in 2026","36","340","Indexable",""
"https://ahrefs.com/blog/technical-seo/","1","The Beginner’s Guide to Technical SEO","37","345","Indexable",""
"https://ahrefs.com/blog/seo-friendly-urls/","1","How to Create SEO-Friendly URLs (Step-by-Step)","46","430","Indexable",""
"https://ahrefs.com/blog/seo-okrs/","1","SEO OKRs: Driving Performance & Measuring Impact","48","468","Indexable",""
"https://ahrefs.com/blog/anchor-text/","1","What Is Anchor Text? Everything You Need to Know (No Jargon!)","61","572","Indexable",""
"https://ahrefs.com/blog/amazon-affiliate-websites/","1","7 Successful Amazon Affiliate Websites","38","356","Indexable",""
"https://ahrefs.com/blog/marketing-tactics/","1","15 Effective Marketing Tactics Anyone Can Use","45","421","Indexable",""
"https://ahrefs.com/blog/affiliate-marketing/","1","Affiliate Marketing For Beginners: What It Is + How to Succeed","62","553","Indexable",""
"https://ahrefs.com/blog/podcast-advertising/","1","Podcast Advertising: $51,975 Spent. Here's What We Learned","58","546","Indexable",""
"https://ahrefs.com/blog/youtube-tags/","1","What are YouTube Tags and Which Ones Should You Add?","52","517","Indexable",""
"https://ahrefs.com/blog/how-to-use-google-trends-for-keyword-research/","1","How to Use Google Trends for Keyword Research: 7 Effective Ways","63","595","Indexable",""
"https://ahrefs.com/blog/what-is-seo/","1","What is SEO and Why Does It Matter for Your Website?","52","485","Indexable",""
"https://ahrefs.com/blog/canonical-tags/","1","Canonical Tags Explained: Why They Matter For SEO","49","465","Indexable",""
"https://ahrefs.com/blog/digital-marketing-strategies/","1","7 Digital Marketing Strategies That Actually Work","49","438","Indexable",""
"https://ahrefs.com/blog/how-to-get-youtube-subscribers/","1","9 Ways to Get More YouTube Subscribers","38","369","Indexable",""
"https://ahrefs.com/blog/affiliate-keyword-research/","1","How to Do Keyword Research for Affiliate Sites","46","418","Indexable",""
"https://ahrefs.com/blog/local-seo/","1","Local SEO: The Complete Guide","29","283","Indexable",""
"https://ahrefs.com/blog/keyword-research/","1","Keyword Research: The Beginner’s Guide by Ahrefs","48","453","Indexable",""
"https://ahrefs.com/blog/enterprise-seo-tools/","1","Comparing Enterprise SEO Tools? Ahrefs Is The Best","50","467","Indexable",""
"https://ahrefs.com/blog/long-tail-keywords/","1","Long-tail Keywords: What They Are and How to Get Search Traffic From Them","73","694","Indexable",""
"https://ahrefs.com/blog/meta-description/","1","How to Write the Perfect Meta Description","41","378","Indexable",""
"https://ahrefs.com/blog/what-are-keywords/","1","What Are Keywords? How to Use Them for SEO","42","420","Indexable",""
"https://ahrefs.com/blog/local-citations/","1","What Is A Local Citation? How They Help SEO","43","403","Indexable",""
"https://ahrefs.com/blog/enterprise-technical-seo/","1","Enterprise Sites Are Where Technical SEO Shines","47","438","Indexable",""
"https://ahrefs.com/blog/image-seo/","1","Image SEO: 12 Actionable Tips (for More Organic Traffic)","56","506","Indexable",""
"https://ahrefs.com/blog/enterprise-seo-challenges/","1","Enterprise SEO Challenges & Mistakes You Need To Overcome","57","556","Indexable",""
"https://ahrefs.com/blog/new-features-january-2026/","1","Global keyword research, backlink page types, and more (January 2026)","69","636","Indexable",""
"https://ahrefs.com/blog/enterprise-seo/","1","Enterprise SEO Strategies For Maximum Growth","44","429","Indexable",""
"https://ahrefs.com/blog/local-keyword-research/","1","How to Do Local Keyword Research","32","315","Indexable",""
"https://ahrefs.com/blog/content-marketing-conferences/","1","12 Content Marketing Conferences to Attend in 2026","50","469","Indexable",""
"https://ahrefs.com/blog/amazon-affiliate-marketing/","1","How to Build a Successful Amazon Affiliate Site (Step by Step)","62","556","Indexable",""
"https://ahrefs.com/blog/seo-meta-tags/","1","Meta Tags for SEO: A Simple Guide for Beginners","47","438","Indexable",""
"https://ahrefs.com/blog/youtube-keyword-tools/","1","8 Best YouTube Keyword Tools (Free and Paid)","44","418","Indexable",""
"https://ahrefs.com/blog/chatgpt-has-12-percent-of-googles-search-volume/","1","ChatGPT Has 12% of Google's Search Volume but Google Sends 190x More Traffic to Websites","88","844","Indexable",""
"https://ahrefs.com/blog/enterprise-content-marketing/","1","Enterprise Content Marketing Strategy To Drive Growth","53","491","Indexable",""
"https://ahrefs.com/blog/search-traffic-study/","1","96.55% of Content Gets No Traffic From Google. Here's How to Be in the Other 3.45% [New Research for 2023]","106","976","Indexable",""
